Wavelength (Angstroms), Normalized intensity, Element
7388.0, 9354, 
7389.0, 9752, 
7390.0, 9806, 
7391.0, 9795, 
7392.0, 9881, 
7393.0, 9820, 
7394.0, 9607, 
7395.0, 9880, 
7396.0, 9534, 
7397.0, 9822, 
7398.0, 9764, 
7399.0, 9723, 
7400.0, 9651, 
7401.0, 9766, 
7402.0, 9729, 
7403.0, 9854, 
7404.0, 9859, 
7405.0, 9870, 
7406.0, 9520, 
7407.0, 9834, 
7408.0, 9871, 
7409.0, 8382, 
7410.0, 9842, 
7411.0, 9011, 
7412.0, 9878, 
7413.0, 9795, 
7414.0, 9748, 
7415.0, 9802, 
7416.0, 5772, 
7417.0, 9804, 
7418.0, 9876, 
7419.0, 9873, 
7420.0, 9838, 
7421.0, 9839, 
7422.0, 9768, 
7423.0, 9824, 
7424.0, 9792, 
7425.0, 9848, 
7426.0, 9880, 
7427.0, 9879, 
7428.0, 9854, 
7429.0, 9857, 
7430.0, 9856, 
7431.0, 9760, 
7432.0, 9769, 
7433.0, 9720, 
7434.0, 9872, 
7435.0, 9818, 
7436.0, 9811, 
7437.0, 9810, 
7438.0, 9883, 
7439.0, 9863, 
7440.0, 9881, 
7441.0, 8348, 
7442.0, 9796, 
7443.0, 7499, 
7444.0, 9861, 
7445.0, 9838, 
7446.0, 9324, 
7447.0, 9812, 
7448.0, 9494, 
7449.0, 9798, 
7450.0, 9869, 
7451.0, 9874, 
7452.0, 9786, 
7453.0, 9821, 
7454.0, 8893, 
7455.0, 9877, 
7456.0, 9872, 
7457.0, 9818, 
7458.0, 9822, 
7459.0, 9753, 
7460.0, 9876, 
7461.0, 9881, 
7462.0, 9835, 
7463.0, 9844, 
7464.0, 9807, 
7465.0, 9878, 
7466.0, 9886, 
7467.0, 9869, 
7468.0, 9882, 
7469.0, 9836, 
7470.0, 9803, 
7471.0, 9850, 
7472.0, 9855, 
7473.0, 9863, 
7474.0, 9815, 
7475.0, 9838, 
7476.0, 9795, 
7477.0, 9881, 
7478.0, 9857, 
7479.0, 9836, 
7480.0, 9831, 
7481.0, 9865, 
7482.0, 9356, 
7483.0, 9745, 
7484.0, 9872, 
7485.0, 9874, 
7486.0, 9800, 
7487.0, 9875, 
7488.0, 9759, 
7489.0, 9862, 
7490.0, 9823, 
7491.0, 9779, 
7492.0, 9853, 
7493.0, 9781, 
7494.0, 9671, 
7495.0, 5698, 
7496.0, 9741, 
7497.0, 9877, 
7498.0, 9861, 
7499.0, 9859, 
7500.0, 9860, 
7501.0, 9858, 
7502.0, 9879, 
7503.0, 9871, 
7504.0, 9785, 
7505.0, 9649, 
7506.0, 8471, 
7507.0, 9838, 
7508.0, 9872, 
7509.0, 9876, 
7510.0, 9838, 
7511.0, 3581, 
7512.0, 9818, 
7513.0, 9870, 
7514.0, 9857, 
7515.0, 9802, 
7516.0, 9831, 
7517.0, 9872, 
7518.0, 9798, 
7519.0, 9884, 
7520.0, 9840, 
7521.0, 9630, 
7522.0, 9866, 
7523.0, 9636, 
7524.0, 9855, 
7525.0, 9232, 
7526.0, 9856, 
7527.0, 9865, 
7528.0, 9861, 
7529.0, 9854, 
7530.0, 9875, 
7531.0, 9155, 
7532.0, 9757, 
7533.0, 9851, 
7534.0, 9872, 
7535.0, 9827, 
7536.0, 9879, 
7537.0, 9834, 
7538.0, 9805, 
7539.0, 9874, 
7540.0, 9807, 
7541.0, 9865, 
7542.0, 9611, 
7543.0, 9849, 
7544.0, 9877, 
7545.0, 9858, 
7546.0, 9717, 
7547.0, 9719, 
7548.0, 9559, 
7549.0, 9873, 
7550.0, 9868, 
7551.0, 9728, 
7552.0, 9858, 
7553.0, 9874, 
7554.0, 9643, 
7555.0, 9839, 
7556.0, 9835, 
7557.0, 9869, 
7558.0, 9786, 
7559.0, 9863, 
7560.0, 9835, 
7561.0, 9764, 
7562.0, 9874, 
7563.0, 8695, 
7564.0, 9874, 
7565.0, 9833, 
7566.0, 9862, 
7567.0, 9613, 
7568.0, 9874, 
7569.0, 8441, 
7570.0, 9785, 
7571.0, 9875, 
7572.0, 9863, 
7573.0, 9827, 
7574.0, 6742, 
7575.0, 9858, 
7576.0, 9871, 
7577.0, 9870, 
7578.0, 9861, 
7579.0, 9806, 
7580.0, 9855, 
7581.0, 9879, 
7582.0, 9695, 
7583.0, 9838, 
7584.0, 9734, 
7585.0, 9836, 
7586.0, 4118, 
7587.0, 9832, 
7588.0, 9826, 
7589.0, 9831, 
7590.0, 9841, 
7591.0, 9851, 
7592.0, 9834, 
7593.0, 9853, 
7593.7, 1223, O2  A 
7594.7, 8838, 
7595.7, 5070, 
7596.7, 7786, 
7597.7, 6480, 
7598.7, 41, 
7599.7, 7203, 
7600.7, 3086, 
7601.7, 0, 
7602.7, 5536, 
7603.7, 1269, 
7604.7, 3364, 
7605.7, 2, 
7606.7, 0, 
7607.7, 2659, 
7608.7, 7112, 
7609.7, 5256, 
7610.7, 4020, 
7611.7, 5793, 
7612.7, 6983, 
7613.7, 6062, 
7614.7, 7131, 
7615.7, 8263, 
7616.7, 9223, 
7617.7, 9778, 
7618.7, 9684, 
7619.7, 8262, 
7620.7, 6450, 
7621.7, 8697, 
7622.7, 8311, 
7623.7, 6144, 
7624.7, 1484, 
7625.7, 8788, 
7626.7, 6288, 
7627.7, 6322, 
7628.7, 6371, 
7629.7, 8615, 
7630.7, 4294, 
7631.7, 5171, 
7632.7, 6679, 
7633.7, 8778, 
7634.7, 7330, 
7635.7, 6288, 
7636.7, 5594, 
7637.7, 9064, 
7638.7, 8854, 
7639.7, 179, 
7640.7, 0, 
7641.7, 9014, 
7642.7, 8859, 
7643.7, 8279, 
7644.7, 7478, 
7645.7, 7200, 
7646.7, 9614, 
7647.7, 9653, 
7648.7, 6651, 
7649.7, 7173, 
7650.7, 8725, 
7651.7, 9847, 
7652.7, 9833, 
7653.7, 6800, 
7654.7, 8189, 
7655.7, 8984, 
7656.7, 9833, 
7657.7, 7529, 
7658.7, 9492, 
7659.7, 8594, 
7660.7, 8121, 
7661.7, 9828, 
7662.7, 9868, 
7663.7, 9687, 
7664.7, 7530, 
7665.7, 8759, 
7666.7, 9772, 
7667.7, 9818, 
7668.7, 9862, 
7669.7, 8108, 
7670.7, 7480, 
7671.7, 1636, 
7672.7, 9786, 
7673.7, 9810, 
7674.7, 9871, 
7675.7, 9845, 
7676.7, 8998, 
7677.7, 7382, 
7678.7, 9852, 
7679.7, 9772, 
7680.7, 9799, 
7681.7, 9862, 
7682.7, 8378, 
7683.7, 9330, 
7684.7, 9894, 
7685.7, 9894, 
7686.7, 9858, 
7687.7, 9812, 
7688.7, 9791, 
7689.7, 9714, 
7690.7, 9823, 
7691.7, 8143, 
7692.7, 9723, 
7693.7, 9819, 
7694.7, 9836, 
7695.7, 9349, 
7696.7, 9478, 
7697.7, 9864, 
7698.7, 9690, 
7699.7, 9776, 
7700.7, 9857, 
7701.7, 9871, 
7702.7, 9713, 
7703.7, 9765, 
7704.7, 9815, 
7705.7, 9734, 
